Car Plate       Brand           Car Name        Seat       Color      Car Available
DDY3666         Honda           Civic           5          Black      Yes       
POI3456         Hyundai         Tucson          7          Blue       No        
VUG8876         Proton          Saga            5          White      Yes        
RYU6712         Perodua         Myvi            4          Yellow     Yes       
CBA4321         Mercedes-Benz   SLK-200         2          Blue       No        
TYU5050         Mercedes-Benz   S-20            5          White      No        
GHB1245         Honda           HR-V            5          Black      Yes        
SS90            Honda           Accord          5          Grey       No        
ZAG4141         Proton          Wira            5          Green      No        
QWE8709         Proton          X-70            5          Blue       No       
HGF9876         Honda           Kenny           5          Pink       Yes       
YYU1441         Honda           Accord          5          Silver     Yes       
WE12            Proton          Wira            5          Black      No        
