Book ID      Username     Car Plate       From Date       From Time       Until Date      Until Time      Day      Total Fee  
BKK00001     asasasas     DDY3666         12/12/2021      18:45           20/12/2021      13:00           8        80      
BKK00002     polkpolk     QWE8709         11/11/2021      15:00           17/11/2021      16:00           6        60      
BOK00003     kakakaka     TYU5050         10/10/2021      15:45           27/10/2021      18:00           17       170     
BOK00004     Peace321     ZAG4141         09/09/2021      17:00           20/09/2021      20:00           11       110     
BOK00005     Lovey123     POI3456         07/07/2021      12:00           08/08/2021      12:00           32       320     
BOK00006     polkpolk     TBG1242         11/09/2021      09:00           20/09/2021      22:45           9        90      
BOK00007     kakakaka     CBA4321         12/12/2021      13:00           20/12/2021      18:00           8        80      
BOK00008     jun          YYU1441         09/09/2021      13:00           20/09/2021      15:00           11       110     
BOK00009     hen          YYU1441         12/12/2021      13:00           20/12/2021      18:00           8        80      
BOK000011    jun          WE12            22/04/2022      13:45           23/05/2022      20:00           31       310     
